release_seed,metric,contrast,condition,value
20260713,variance_top10_observed_to_null_mean_ratio,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.12062038558561361
20260713,variance_top10_observed_to_null_mean_ratio,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.02645114576819385
20260713,variance_top10_observed_to_null_mean_ratio,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.035937845265650914
20260713,variance_top10_observed_to_null_mean_ratio,velocity_size_interaction,difference_of_differences,0.009486699497457063
20260713,variance_top10_observed_to_outlet_capped_null_mean_ratio,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.12130671101150536
20260713,variance_top10_observed_to_outlet_capped_null_mean_ratio,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.05396325028301052
20260713,variance_top10_observed_to_outlet_capped_null_mean_ratio,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.02090045085586245
20260713,variance_top10_observed_to_outlet_capped_null_mean_ratio,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.04644300987263239
20260713,variance_top10_observed_to_outlet_capped_null_mean_ratio,velocity_size_interaction,difference_of_differences,0.06734346072849484
20260713,variance_top10_null_upper_p,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.0
20260713,variance_top10_null_upper_p,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,4.99975001250208e-05
20260713,variance_top10_null_upper_p,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-4.99975001250208e-05
20260713,variance_top10_null_upper_p,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.0
20260713,variance_top10_null_upper_p,velocity_size_interaction,difference_of_differences,4.99975001250208e-05
20260713,variance_top10_outlet_capped_null_upper_p,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.0
20260713,variance_top10_outlet_capped_null_upper_p,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,4.99975001250208e-05
20260713,variance_top10_outlet_capped_null_upper_p,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-4.99975001250208e-05
20260713,variance_top10_outlet_capped_null_upper_p,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.0
20260713,variance_top10_outlet_capped_null_upper_p,velocity_size_interaction,difference_of_differences,4.99975001250208e-05
20260713,velocity_positive_integral_time_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.0016424395651791351
20260713,velocity_positive_integral_time_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.010755625715670222
20260713,velocity_positive_integral_time_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.01951527193505606
20260713,velocity_positive_integral_time_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-0.010402085784564974
20260713,velocity_positive_integral_time_s,velocity_size_interaction,difference_of_differences,0.009113186150491087
20260713,velocity_variance_ratio_20ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.038983821626105586
20260713,velocity_variance_ratio_20ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.039489330585501525
20260713,velocity_variance_ratio_20ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.08387706565552877
20260713,velocity_variance_ratio_20ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.08337155669613283
20260713,velocity_variance_ratio_20ms,velocity_size_interaction,difference_of_differences,-0.0005055089593959394
20260713,velocity_variance_ratio_50ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.03415767233106459
20260713,velocity_variance_ratio_50ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.05860278963813026
20260713,velocity_variance_ratio_50ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.16417111593114664
20260713,velocity_variance_ratio_50ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.13972599862408097
20260713,velocity_variance_ratio_50ms,velocity_size_interaction,difference_of_differences,-0.024445117307065667
