metric,contrast,condition,count,mean,standard_deviation,standard_error,ci95_low,ci95_high,minimum,maximum,same_sign_count
mean_sampled_contact_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,-0.007260136465954803,0.022412690589738094,0.012939972945249081,-0.06293634638107491,0.048416073449165306,-0.026658365406671325,0.017275090532420878,2
mean_sampled_contact_fraction,velocity_size_interaction,difference_of_differences,3,-0.002797211741923119,0.033387006884351235,0.019275997412116073,-0.08573513462485448,0.08014071114100825,-0.0413451941817119,0.016958459934310388,1
mean_time_averaged_gravity_force_z_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,-1.074171396620014e-08,0.0,0.0,-1.074171396620014e-08,-1.074171396620014e-08,-1.074171396620014e-08,-1.074171396620014e-08,3
mean_time_averaged_gravity_force_z_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,-1.074171396620014e-08,0.0,0.0,-1.074171396620014e-08,-1.074171396620014e-08,-1.074171396620014e-08,-1.074171396620014e-08,3
mean_time_averaged_gravity_force_z_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
mean_time_averaged_gravity_force_z_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
mean_time_averaged_gravity_force_z_N,velocity_size_interaction,difference_of_differences,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
mean_time_averaged_mechanical_contact_force_x_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,-3.003393884946734e-08,3.2848172007645326e-09,1.896490095100116e-09,-3.8193877133998873e-08,-2.1874000564935815e-08,-3.3039126335521254e-08,-2.652718439115649e-08,3
mean_time_averaged_mechanical_contact_force_x_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,-5.451038132079063e-08,5.2300191887119905e-09,3.0195529864697762e-09,-6.75024692204986e-08,-4.151829342108266e-08,-6.011225759842274e-08,-4.9755642439351984e-08,3
mean_time_averaged_mechanical_contact_force_x_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,-2.745063593623994e-08,4.05089601317972e-09,2.3387859036684934e-09,-3.7513619488843064e-08,-1.7387652383636817e-08,-3.096328267981703e-08,-2.3019290480295212e-08,3
mean_time_averaged_mechanical_contact_force_x_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,-5.192707840756322e-08,5.9515286159486986e-09,3.4361166485077423e-09,-6.671149508483267e-08,-3.7142661730293766e-08,-5.8036413942718514e-08,-4.614702858316807e-08,3
mean_time_averaged_mechanical_contact_force_x_N,velocity_size_interaction,difference_of_differences,3,-2.447644247132328e-08,2.249362273418259e-09,1.2986699140630206e-09,-3.00641681220458e-08,-1.888871682060076e-08,-2.7073131262901483e-08,-2.3127738102872856e-08,3
mean_time_averaged_mechanical_contact_force_z_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,7.55179108353981e-09,4.734562231169542e-10,2.733500778660771e-10,6.375660624845627e-09,8.727921542233994e-09,7.159742181243767e-09,8.077791350263037e-09,3
mean_time_averaged_mechanical_contact_force_z_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,8.111296837927244e-09,6.347250420986574e-10,3.664586739170564e-10,6.53455242427578e-09,9.68804125157871e-09,7.379650744029458e-09,8.514487973270202e-09,3
mean_time_averaged_mechanical_contact_force_z_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,2.6032781305691154e-10,1.9385175687161403e-10,1.1192036401270825e-10,-2.2122664667138524e-10,7.418822727852083e-10,5.094101990295313e-11,4.3355136198843784e-10,3
mean_time_averaged_mechanical_contact_force_z_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,8.19833567444346e-10,3.162969424560091e-10,1.8261412487083244e-10,3.4108404587082116e-11,1.6055587303016098e-09,5.163996200650354e-10,1.1475892740605287e-09,3
mean_time_averaged_mechanical_contact_force_z_N,velocity_size_interaction,difference_of_differences,3,5.595057543874345e-10,4.705701150638736e-10,2.7168378260472063e-10,-6.094552144519882e-10,1.728466723226857e-09,2.1990856278569172e-10,1.0966482541575756e-09,3
mean_time_averaged_total_fluid_force_x_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,3.017514496805227e-08,3.304948853964539e-09,1.908113110494372e-09,2.19651968846073e-08,3.8385093051497237e-08,2.6648819486186897e-08,3.320181804700429e-08,3
mean_time_averaged_total_fluid_force_x_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,5.4674611871157865e-08,5.2369945188903426e-09,3.023580195225934e-09,4.166519629070214e-08,6.768402745161359e-08,4.991704779439304e-08,6.028608622903113e-08,3
mean_time_averaged_total_fluid_force_x_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,2.7498783826308943e-08,4.049141679854332e-09,2.3377730388508325e-09,1.7440158279278343e-08,3.7557409373339544e-08,2.3070985675537347e-08,3.1013260079547436e-08,3
mean_time_averaged_total_fluid_force_x_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,5.1998250729414535e-08,5.9466961643779965e-09,3.4333266312925514e-09,3.722583852733193e-08,6.677066293149714e-08,4.621688989462114e-08,5.809752826157428e-08,3
mean_time_averaged_total_fluid_force_x_N,velocity_size_interaction,difference_of_differences,3,2.4499466903105595e-08,2.2393389726277704e-09,1.2928829586534634e-09,1.8936640511872658e-08,3.0062293294338535e-08,2.3145904219083795e-08,2.7084268182026843e-08,3
mean_time_averaged_total_fluid_force_z_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,3.17134988500483e-09,4.725187322503616e-10,2.72808817261887e-10,1.997548282726743e-09,4.345151487282917e-09,2.6477152807450326e-09,3.565941632129814e-09,3
mean_time_averaged_total_fluid_force_z_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,2.6177951400301553e-09,6.251735142802779e-10,3.609440967599428e-10,1.0647780368368864e-09,4.170812243223424e-09,2.225405457862475e-09,3.338741994882226e-09,3
