case_name,timestep,time,elapsed_time,x_center_m,x_over_L,blockage_ratio
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.034874999999999996,0.7749999999999999,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.037125,0.825,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.03937499999999999,0.8749999999999999,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.041624999999999995,0.9249999999999999,0.0
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.043875,0.975,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.001125,0.024999999999999998,3.4996527710792214e-05
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.0033749999999999995,0.075,4.940947027020625e-05
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.005625,0.125,1.1216902151356908e-05
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.007875,0.17500000000000002,1.1860592166896913e-07
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.010124999999999999,0.22499999999999998,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.012374999999999999,0.27499999999999997,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.014624999999999999,0.325,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.016875,0.37500000000000006,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.019124999999999996,0.42499999999999993,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.021374999999999998,0.475,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.023625,0.525,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.025874999999999995,0.575,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.028124999999999997,0.625,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.030375,0.675,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.032625,0.7250000000000001,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.034874999999999996,0.7749999999999999,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.037125,0.825,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.03937499999999999,0.8749999999999999,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.041624999999999995,0.9249999999999999,0.0
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.043875,0.975,0.0
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.001125,0.024999999999999998,2.1842660398804803e-05
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.0033749999999999995,0.075,5.134836380598957e-05
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.005625,0.125,2.36029928005751e-05
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.007875,0.17500000000000002,1.215710697106933e-06
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.010124999999999999,0.22499999999999998,0.0
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.012374999999999999,0.27499999999999997,0.0
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.014624999999999999,0.325,0.0
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.016875,0.37500000000000006,0.0
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.019124999999999996,0.42499999999999993,0.0
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.021374999999999998,0.475,0.0
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.023625,0.525,0.0
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.025874999999999995,0.575,0.0
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.028124999999999997,0.625,0.0
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.030375,0.675,0.0
