job_id,case_name,step,time_s,dump_file,debris_count,expected_debris_atoms,debris_count_ok,outlet_count_x_ge_L,source_count,downstream_count,upstream_count,source_fraction,downstream_fraction,outlet_fraction,x_mean_over_L,x_q90_over_L,x_q99_over_L,x_max_over_L,dx_mean_m,dx_q99_m,dx_max_m,max_abs_velocity_m_s,time_ms,released_fraction,front_bulk_gap_over_L,job_label
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,2500000,0.025,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg4M_type2_2500000.dump,15000,15000,True,0,11050,3939,11,0.7366666666666667,0.2626,0.0,0.3692745668888888,0.4242948888888889,0.4731107111111113,0.9982,0.0016419643033333,0.005132154,0.0272081,0.972097,25.0,0.2633333333333333,0.5250892888888887,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,3000000,0.03,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg4M_type2_3000000.dump,15000,15000,True,0,10217,4775,8,0.6811333333333334,0.3183333333333333,0.0,0.3777140134814815,0.4339931111111111,0.5148202222222223,0.9611355555555556,0.0020217394,0.007307031,0.025701,1.02859,30.0,0.31886666666666663,0.4463153333333333,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,3500000,0.035,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg4M_type2_3500000.dump,15000,15000,True,0,9448,5545,7,0.6298666666666667,0.3696666666666666,0.0,0.386607375125926,0.4434564444444445,0.5668013555555557,0.9465133333333334,0.002421940674,0.009742182,0.0275494,0.985177,35.0,0.3701333333333333,0.37971197777777776,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,4000000,0.04,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg4M_type2_4000000.dump,15000,15000,True,0,8690,6305,5,0.5793333333333334,0.4203333333333333,0.0,0.3957625410814814,0.452974,0.6254378666666668,0.9981044444444446,0.002833923142,0.012454408,0.029871,0.964311,40.0,0.42066666666666663,0.3726665777777778,"906 upstream, 15k"
907_downstream_source_dt5e9_to_10ms,paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,100000,0.00055,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit_dt5e9_type2_100000.dump,15000,15000,True,0,14926,46,28,0.9950666666666668,0.0030666666666666,0.0,0.5998385974533333,0.6535297777777778,0.6658067111111111,0.9622333333333334,0.0,0.0,0.0,75.8757,0.55,0.004933333333333234,0.29642662222222227,"907 downstream, 15k"
907_downstream_source_dt5e9_to_10ms,paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,120000,0.00065,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit_dt5e9_type2_120000.dump,15000,15000,True,0,14914,54,32,0.9942666666666666,0.0036,0.0,0.5998764130370371,0.6535695555555556,0.6658512,0.9716911111111112,1.7017012666666752e-06,4.950000000000093e-05,0.0067284999999999,64.5551,0.65,0.005733333333333368,0.3058399111111112,"907 downstream, 15k"
907_downstream_source_dt5e9_to_10ms,paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,140000,0.00075,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit_dt5e9_type2_140000.dump,15000,15000,True,0,14898,64,38,0.9932,0.0042666666666666,0.0,0.5999188853333334,0.6536142222222222,0.6659224222222222,0.984237777777778,3.6129546000000017e-06,9.12110000000033e-05,0.0111981,36.8792,0.75,0.006800000000000028,0.3183153555555558,"907 downstream, 15k"
907_downstream_source_dt5e9_to_10ms,paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,200000,0.00105,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit_dt5e9_type2_200000.dump,15000,15000,True,0,14875,84,41,0.9916666666666668,0.0056,0.0,0.6000456047259259,0.6537826666666667,0.6661511777777778,0.99362,9.315327266666662e-06,0.0001878009999999,0.010823019,27.7798,1.05,0.008333333333333193,0.3274688222222222,"907 downstream, 15k"
907_downstream_source_dt5e9_to_10ms,paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,360000,0.00185,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit_dt5e9_type2_360000.dump,15000,15000,True,0,14768,180,52,0.9845333333333334,0.012,0.0,0.600633621288889,0.6545311111111112,0.6669090000000001,0.9984822222222222,3.577607259999998e-05,0.0003170069999999,0.022647819,16.3049,1.85,0.015466666666666629,0.3315732222222221,"907 downstream, 15k"
907_downstream_source_dt5e9_to_10ms,paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,400000,0.00205,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit_dt5e9_type2_400000.dump,15000,15000,True,0,14737,208,55,0.9824666666666668,0.0138666666666666,0.0,0.6008231137481482,0.6547517777777778,0.6671623111111111,0.996851111111111,4.430323326666668e-05,0.000336926,0.021474319,16.3049,2.0500000000000003,0.01753333333333318,0.3296887999999999,"907 downstream, 15k"
907_downstream_source_dt5e9_to_10ms,paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,460000,0.00235,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit_dt5e9_type2_460000.dump,15000,15000,True,0,14689,252,59,0.9792666666666666,0.0168,0.0,0.6011346237718519,0.6550364444444444,0.6676022222222222,0.9935466666666668,5.8321184333333346e-05,0.00036081,0.019722819,13.4415,2.35,0.02073333333333338,0.3259444444444446,"907 downstream, 15k"
