case_label,debris_total_number,x_index,x_over_L,mean_pressure
baseline,0,149,0.8305555555555556,0.1538080152627696
baseline,0,150,0.8361111111111111,0.14817389284370674
baseline,0,151,0.8416666666666667,0.14316000029815595
baseline,0,152,0.8472222222222222,0.13753209259670435
baseline,0,153,0.8527777777777777,0.13137163701824298
baseline,0,154,0.8583333333333333,0.12561012978397632
baseline,0,155,0.8638888888888889,0.12043914128458155
baseline,0,156,0.8694444444444445,0.11554281507699143
baseline,0,157,0.875,0.10972348682220084
baseline,0,158,0.8805555555555555,0.10375686028960225
baseline,0,159,0.8861111111111111,0.09786152812350256
baseline,0,160,0.8916666666666667,0.09212915986109976
baseline,0,161,0.8972222222222223,0.08659127934530893
baseline,0,162,0.9027777777777778,0.08147620697732123
baseline,0,163,0.9083333333333333,0.0756598335914309
baseline,0,164,0.9138888888888889,0.06962816987436697
baseline,0,165,0.9194444444444444,0.06417226625707166
baseline,0,166,0.925,0.059129746085972344
baseline,0,167,0.9305555555555556,0.05380879997853737
baseline,0,168,0.9361111111111111,0.049568229562495535
baseline,0,169,0.9416666666666667,0.04536047323364799
baseline,0,170,0.9472222222222222,0.040157209805246154
baseline,0,171,0.9527777777777777,0.03521788323542974
baseline,0,172,0.9583333333333334,0.031245890799049252
baseline,0,173,0.9638888888888889,0.024631700489138545
baseline,0,174,0.9694444444444444,0.018391091553758402
baseline,0,175,0.975,0.014588581026848612
baseline,0,176,0.9805555555555555,0.009901361506214684
baseline,0,177,0.9861111111111112,0.0044601018594960275
baseline,0,178,0.9916666666666667,0.0019417995614776646
baseline,0,179,0.9972222222222222,0.0
N=3000,3000,0,0.002777777777777778,1.0
N=3000,3000,1,0.008333333333333333,0.9979716730158701
N=3000,3000,2,0.013888888888888888,0.9954137798029882
N=3000,3000,3,0.019444444444444445,0.9895396883545042
N=3000,3000,4,0.025,0.984718057930675
N=3000,3000,5,0.030555555555555555,0.9807820510837707
N=3000,3000,6,0.03611111111111111,0.9753116564455999
N=3000,3000,7,0.041666666666666664,0.9686034439133159
N=3000,3000,8,0.04722222222222222,0.964291887708769
N=3000,3000,9,0.05277777777777778,0.9583581759534568
N=3000,3000,10,0.058333333333333334,0.9521307540174523
N=3000,3000,11,0.06388888888888888,0.9477152906074012
N=3000,3000,12,0.06944444444444445,0.9424290406206921
N=3000,3000,13,0.075,0.9368833082728678
N=3000,3000,14,0.08055555555555556,0.9309401659217443
N=3000,3000,15,0.08611111111111111,0.9243512348811113
N=3000,3000,16,0.09166666666666666,0.9191319112819307
N=3000,3000,17,0.09722222222222222,0.9125682351000763
N=3000,3000,18,0.10277777777777777,0.9068198335134242
N=3000,3000,19,0.10833333333333334,0.9017253074955498
N=3000,3000,20,0.11388888888888889,0.8964115841412448
N=3000,3000,21,0.11944444444444445,0.8914284505302481
N=3000,3000,22,0.125,0.8862779066937432
