step,time_s,x_over_L,cdf,survival
20000,0.00015000000000000001,0.6980000000000001,1.0,0.0
20000,0.00015000000000000001,0.7000000000000001,1.0,0.0
20000,0.00015000000000000001,0.7020000000000001,1.0,0.0
20000,0.00015000000000000001,0.704,1.0,0.0
20000,0.00015000000000000001,0.706,1.0,0.0
20000,0.00015000000000000001,0.708,1.0,0.0
20000,0.00015000000000000001,0.71,1.0,0.0
20000,0.00015000000000000001,0.712,1.0,0.0
20000,0.00015000000000000001,0.714,1.0,0.0
20000,0.00015000000000000001,0.716,1.0,0.0
20000,0.00015000000000000001,0.718,1.0,0.0
20000,0.00015000000000000001,0.72,1.0,0.0
20000,0.00015000000000000001,0.722,1.0,0.0
20000,0.00015000000000000001,0.724,1.0,0.0
20000,0.00015000000000000001,0.726,1.0,0.0
20000,0.00015000000000000001,0.728,1.0,0.0
20000,0.00015000000000000001,0.73,1.0,0.0
20000,0.00015000000000000001,0.732,1.0,0.0
20000,0.00015000000000000001,0.734,1.0,0.0
20000,0.00015000000000000001,0.736,1.0,0.0
20000,0.00015000000000000001,0.738,1.0,0.0
20000,0.00015000000000000001,0.74,1.0,0.0
20000,0.00015000000000000001,0.742,1.0,0.0
20000,0.00015000000000000001,0.744,1.0,0.0
20000,0.00015000000000000001,0.746,1.0,0.0
20000,0.00015000000000000001,0.748,1.0,0.0
20000,0.00015000000000000001,0.75,1.0,0.0
20000,0.00015000000000000001,0.752,1.0,0.0
20000,0.00015000000000000001,0.754,1.0,0.0
20000,0.00015000000000000001,0.756,1.0,0.0
20000,0.00015000000000000001,0.758,1.0,0.0
20000,0.00015000000000000001,0.76,1.0,0.0
20000,0.00015000000000000001,0.762,1.0,0.0
20000,0.00015000000000000001,0.764,1.0,0.0
20000,0.00015000000000000001,0.766,1.0,0.0
20000,0.00015000000000000001,0.768,1.0,0.0
20000,0.00015000000000000001,0.77,1.0,0.0
20000,0.00015000000000000001,0.772,1.0,0.0
20000,0.00015000000000000001,0.774,1.0,0.0
20000,0.00015000000000000001,0.776,1.0,0.0
20000,0.00015000000000000001,0.778,1.0,0.0
20000,0.00015000000000000001,0.78,1.0,0.0
20000,0.00015000000000000001,0.782,1.0,0.0
20000,0.00015000000000000001,0.784,1.0,0.0
20000,0.00015000000000000001,0.786,1.0,0.0
20000,0.00015000000000000001,0.788,1.0,0.0
