particle_id,initial_z_m,retained_at_final_time,outlet_interval_start_s,outlet_interval_end_s,outlet_time_midpoint_s
2628,0.0281477,True,nan,nan,nan
2629,0.0206403,True,nan,nan,nan
2630,0.0239934,True,nan,nan,nan
2631,0.0162115,True,nan,nan,nan
2632,0.0238176,True,nan,nan,nan
2633,0.0176723,False,0.0,0.09999999999999999,0.049999999999999996
2634,0.0170391,True,nan,nan,nan
2635,0.0263334,True,nan,nan,nan
2636,0.0250633,True,nan,nan,nan
2637,0.0267975,True,nan,nan,nan
2638,0.0270109,False,0.09999999999999999,0.19999999999999998,0.15
2639,0.0212398,True,nan,nan,nan
2640,0.0239678,True,nan,nan,nan
2641,0.0235527,True,nan,nan,nan
2642,0.0159392,True,nan,nan,nan
2643,0.0151994,True,nan,nan,nan
2644,0.0271191,True,nan,nan,nan
2645,0.0250409,True,nan,nan,nan
2646,0.0276501,True,nan,nan,nan
2647,0.0289119,True,nan,nan,nan
2648,0.0208654,True,nan,nan,nan
2649,0.0254226,True,nan,nan,nan
2650,0.0289867,True,nan,nan,nan
2651,0.0183794,True,nan,nan,nan
2652,0.0262837,True,nan,nan,nan
2653,0.0159847,True,nan,nan,nan
2654,0.0223302,True,nan,nan,nan
2655,0.0195705,True,nan,nan,nan
2656,0.0273723,True,nan,nan,nan
2657,0.0235508,True,nan,nan,nan
2658,0.02385,False,0.09999999999999999,0.19999999999999998,0.15
2659,0.0280798,True,nan,nan,nan
2660,0.0280545,True,nan,nan,nan
2661,0.0234226,True,nan,nan,nan
2662,0.0260655,True,nan,nan,nan
2663,0.0156694,True,nan,nan,nan
2664,0.0226969,True,nan,nan,nan
2665,0.0291668,True,nan,nan,nan
2666,0.0223972,True,nan,nan,nan
2667,0.0200252,True,nan,nan,nan
2668,0.0236773,False,0.19999999999999998,0.3,0.25
2669,0.017279,True,nan,nan,nan
2670,0.0279853,True,nan,nan,nan
2671,0.0226331,True,nan,nan,nan
2672,0.0234762,True,nan,nan,nan
