ix,iy,iz,resolved_x_center_m,unresolved_x_center_m,y_center_m,z_center_m,resolved_fluid_volume_m3,resolved_epsilon,unresolved_epsilon_raw,unresolved_epsilon_drag_used,resolved_ux_m_per_s,resolved_uy_m_per_s,resolved_uz_m_per_s,resolved_mean_umag_m_per_s,resolved_ux_std_within_bin_m_per_s,unresolved_ux_m_per_s,unresolved_uy_m_per_s,unresolved_uz_m_per_s,resolved_qx_m_per_s,unresolved_qx_m_per_s,resolved_p_m2_per_s2,unresolved_p_m2_per_s2
1,0,2,0.006,0.028749999999999998,0.00125,0.0065,6.104296363266281e-09,0.3756490069702326,0.408903,0.408903,0.25128142959467187,0.035972178319683835,0.026441982045686804,0.3158802073803707,0.22648959428298987,0.301313,-0.00605672,0.0230198,0.09439361949729891,0.12320779,71.77473163423699,118.586
1,0,3,0.006,0.028749999999999998,0.00125,0.0091,6.188445694672436e-09,0.3808274273644575,0.383348,0.4,0.19864610404155952,0.006821997592896548,0.04445871200731043,0.25291724518180203,0.17356925017438565,0.229877,-0.00314594,0.00966856,0.07564988475811948,0.08812288,64.65974529639719,117.188
1,0,4,0.006,0.028749999999999998,0.00125,0.011699999999999999,7.665483386235431e-09,0.47172205453756494,0.47779,0.47779,0.38908969320312825,0.0394410938825104,0.030431513560873424,0.46222954920268927,0.39065751396442233,0.507661,0.00978478,0.00645369,0.18354218947717046,0.24255534,58.61086985615175,116.622
1,1,0,0.006,0.028749999999999998,0.00375,0.0013,6.910518241077208e-09,0.42526266098936655,0.428902,0.428902,0.27929377363941804,-0.027134487133817185,0.032862133626176876,0.35895822182698117,0.2705475205804563,0.286525,0.00507631,0.00402783,0.11877321337566071,0.12289115,76.90809531531474,120.141
1,1,1,0.006,0.028749999999999998,0.00375,0.0039,5.847406905204864e-09,0.35984042493568386,0.388903,0.4,0.2164532282120466,-0.013414522472513112,0.03828185487029771,0.28746009153417945,0.22548321379372294,0.146426,0.000732988,0.00226662,0.0778886216185234,0.056945514,72.68827409174203,119.509
1,1,2,0.006,0.028749999999999998,0.00375,0.0065,6.0299250937585825e-09,0.37107231346206654,0.346682,0.4,0.20129598657611322,0.020178939274966126,0.03253807987595459,0.2645891791787365,0.1896776627518332,0.143175,-0.00145665,0.00537006,0.07469536742942742,0.0496362,70.27746399440747,119.445
1,1,3,0.006,0.028749999999999998,0.00375,0.0091,5.928593133657313e-09,0.3648365005327577,0.352237,0.4,0.19704186272804305,-0.015450164586845476,0.026173385652151833,0.2615714519296545,0.17365741903100537,0.0996233,-0.000790752,0.00798118,0.07188806365615524,0.035091013,68.64146497649952,117.806
1,1,4,0.006,0.028749999999999998,0.00375,0.011699999999999999,7.362371405999279e-09,0.45306900959995555,0.450013,0.450013,0.38000289438878526,0.06639226752255387,0.030481324267388806,0.4679453574091941,0.38667033858713085,0.3334,0.00332917,0.0146748,0.17216753500584345,0.15003434,58.044982030221256,115.767
1,2,0,0.006,0.028749999999999998,0.00625,0.0013,6.189037663330941e-09,0.380863856204981,0.364459,0.4,0.2713244620893949,-0.020636228849272527,0.014557382779970776,0.34131656958218365,0.2540139913181507,0.254022,0.00148691,0.00107354,0.10333768091410912,0.09258061,79.87758201389305,120.546
1,2,1,0.006,0.028749999999999998,0.00625,0.0039,5.775704540666608e-09,0.3554279717333297,0.352237,0.4,0.19522451232275254,0.01444615650306082,0.01006180618201424,0.2524486709836303,0.17804739457949204,0.132629,0.00352525,0.00438971,0.06938825244750436,0.046716843,76.27781786111602,120.351
1,2,2,0.006,0.028749999999999998,0.00625,0.0065,5.639704086153019e-09,0.34705871299403196,0.345571,0.4,0.2071252557651923,0.007317776299048253,0.03532686798817907,0.27011197749853694,0.21246976277948587,0.182095,0.00298907,0.0111289,0.07188462469442734,0.062926754,71.12889723444252,119.032
1,2,3,0.006,0.028749999999999998,0.00625,0.0091,5.75851998012365e-09,0.35437046031530156,0.384459,0.4,0.182934781399505,0.008471939475101678,0.05291253108837158,0.23895879009095478,0.17784840414485806,0.140645,0.00121887,0.00883311,0.06482668269222165,0.054072235,66.28023409753793,117.539
1,2,4,0.006,0.028749999999999998,0.00625,0.011699999999999999,7.288595064881296e-09,0.4485289270696182,0.491123,0.491123,0.4145817008449539,-0.02251783720899013,0.0472066722861111,0.4925078813123326,0.4555650308325416,0.442262,-0.0147964,0.0133146,0.1859518854626846,0.21720503,58.15516690012979,116.177
1,3,0,0.006,0.028749999999999998,0.00875,0.0013,6.437332476725572e-09,0.3961435370292658,0.402236,0.402236,0.2509574124218294,0.01497939339899427,0.009922719835000753,0.3069515518290022,0.2413374346907835,0.256693,0.00356674,0.00883654,0.0994151570004957,0.103251174,80.04057458404588,119.88
