timestep,time_s,retained_count,retained_fraction,cumulative_outlet_count,cumulative_breakthrough_fraction,new_outlet_count,z_mean_m,z_p10_m,z_p50_m,z_p90_m,downward_velocity_mean_m_s
10500000,10.5,4104,1.0,0,0.0,0,0.01156775341008772,0.01042482,0.0118492,0.012346890000000001,0.0002724751420127924
10600000,10.6,4104,1.0,0,0.0,0,0.011555314373294347,0.01042482,0.01185045,0.01234554,0.00014537039618387263
10700000,10.7,4104,1.0,0,0.0,0,0.011569623193713451,0.010421880000000001,0.011847799999999999,0.01234628,4.432835080940545e-05
10800000,10.799999999999999,4104,1.0,0,0.0,0,0.011561349590155943,0.01042181,0.0118491,0.0123461,0.00044290045601980994
10900000,10.9,4104,1.0,0,0.0,0,0.011554393320419104,0.01042181,0.0118501,0.0123452,-6.710336830872325e-06
11000000,11.0,4104,1.0,0,0.0,0,0.01155279932383041,0.01042181,0.01185105,0.01234471,0.00010504754464817254
11100000,11.1,4104,1.0,0,0.0,0,0.011552479487329435,0.01042482,0.01185105,0.01234395,-5.161579303936503e-05
11200000,11.2,4104,1.0,0,0.0,0,0.011566045826510721,0.01042482,0.011848500000000001,0.01234487,-0.0010758300028742445
11300000,11.299999999999999,4104,1.0,0,0.0,0,0.011577374617690058,0.010421880000000001,0.01184955,0.01234627,-0.00043630247223587964
11400000,11.4,4104,1.0,0,0.0,0,0.011556258295808966,0.010421880000000001,0.01184985,0.01234644,-0.0002245590227064084
11500000,11.5,4104,1.0,0,0.0,0,0.011552198360867448,0.01042181,0.0118504,0.01234611,-0.00010985072240470275
11600000,11.6,4104,1.0,0,0.0,0,0.011575278206627678,0.01042181,0.01184875,0.01234727,0.00026636231237140107
11700000,11.7,4104,1.0,0,0.0,0,0.01156781931554581,0.01042181,0.01184965,0.01234737,-0.00030049687656517546
11800000,11.799999999999999,4104,1.0,0,0.0,0,0.011567005989522419,0.0104235,0.01184935,0.01234728,-9.489615835539475e-06
11900000,11.899999999999999,4104,1.0,0,0.0,0,0.011562452962962964,0.01042482,0.011849100000000001,0.01234594,0.00019267356458487527
12000000,12.0,4104,1.0,0,0.0,0,0.011563039426900585,0.0104054,0.011843949999999999,0.01234537,-0.0005733049667598002
12100000,12.1,4104,1.0,0,0.0,0,0.011551448747563352,0.010409080000000001,0.011843349999999999,0.01234537,0.00012414333880199588
12200000,12.2,4104,1.0,0,0.0,0,0.011555167246101365,0.010409080000000001,0.0118433,0.01234444,-0.00048206220059999994
12300000,12.299999999999999,4104,1.0,0,0.0,0,0.01155278478923002,0.01040228,0.011843099999999999,0.01234064,0.00027100437476616963
12400000,12.399999999999999,4104,1.0,0,0.0,0,0.011543551191764135,0.01040228,0.0118429,0.01233914,-7.601306608114049e-06
12500000,12.5,4104,1.0,0,0.0,0,0.01154036919980507,0.01040228,0.0118432,0.01233897,0.00015452800308986354
12600000,12.6,4104,1.0,0,0.0,0,0.011542050221978557,0.01040228,0.01184315,0.0123388,-0.0002881416341170566
12700000,12.7,4104,1.0,0,0.0,0,0.011540817515350878,0.01040228,0.01184315,0.01234038,2.645181165877194e-05
12800000,12.799999999999999,4104,1.0,0,0.0,0,0.011540887571150097,0.01040228,0.01184325,0.01234108,0.0001597333548208845
12900000,12.899999999999999,4104,1.0,0,0.0,0,0.011540467328460039,0.01040228,0.01184295,0.01234026,0.00016236279803212233
13000000,13.0,4104,1.0,0,0.0,0,0.011644309610623781,0.0104054,0.0118432,0.012352390000000001,0.0004562373461804824
13100000,13.1,4104,1.0,0,0.0,0,0.011578684671783626,0.01040228,0.011843550000000001,0.0123496,-0.0003759804858525047
13200000,13.2,4104,1.0,0,0.0,0,0.011610280638888887,0.01040225,0.0118432,0.01235267,0.0007881674404232213
13300000,13.299999999999999,4104,1.0,0,0.0,0,0.011572199767787525,0.01040008,0.011843099999999999,0.01235046,6.651977611734885e-06
13400000,13.399999999999999,4104,1.0,0,0.0,0,0.01156723790229045,0.01040008,0.01184325,0.012348010000000001,0.0001394777652643324
13500000,13.5,4104,1.0,0,0.0,0,0.011559693688109163,0.01040008,0.011842100000000001,0.01234811,-0.00023841689906313362
