transition_time_s,n,empirical,low,high,fitted,state
0.0021287401415330766,12,0.19818918390216328,0.19818918390216328,0.19818918390216328,0.2166676911468439,Low mobility
0.0022238005351811435,12,0.1920533983505111,0.1920533983505111,0.1920533983505111,0.2100078982017834,Low mobility
0.0023231059178084744,12,0.18413254174979446,0.18413254174979446,0.18413254174979446,0.20348896579801384,Low mobility
0.002426845852394375,12,0.17987796250113067,0.17987796250113067,0.17987796250113067,0.19713248831914312,Low mobility
0.0025352183669868043,12,0.17523972445953367,0.17523972445953367,0.17523972445953367,0.19092018508642802,Low mobility
0.002648430332715985,12,0.1692633279676637,0.1692633279676637,0.1692633279676637,0.18484849416088467,Low mobility
0.002766697858688481,12,0.16562904163878595,0.16562904163878595,0.16562904163878595,0.1793437078735461,Low mobility
0.00289024670451556,12,0.16018750432584777,0.16018750432584777,0.16018750432584777,0.17445165638620755,Low mobility
0.0030193127112632923,12,0.15358032480608413,0.15358032480608413,0.15358032480608413,0.16967340556928764,Low mobility
0.0031541422516470218,12,0.1503680983299976,0.1503680983299976,0.1503680983299976,0.16502316180053128,Low mobility
0.003294992700329605,12,0.14247316760401635,0.14247316760401635,0.14247316760401635,0.1604852852684975,Low mobility
0.0034421329252211485,12,0.13788168482238472,0.13788168482238472,0.13788168482238472,0.15605587096592904,Low mobility
0.0035958438007180718,12,0.13338270874625285,0.13338270874625285,0.13338270874625285,0.1517332464986316,Low mobility
0.0037564187438612244,12,0.12855363089625965,0.12855363089625965,0.12855363089625965,0.14751570518885035,Low mobility
0.00392416427443653,12,0.11999672811959794,0.11999672811959794,0.11999672811959794,0.14340151103177032,Low mobility
0.004099400600087325,12,0.11387001786125736,0.11387001786125736,0.11387001786125736,0.13940244596387208,Low mobility
0.004282462227555286,12,0.10994547969275331,0.10994547969275331,0.10994547969275331,0.1355047720817728,Low mobility
0.004473698601216748,12,0.10640036160327884,0.10640036160327884,0.10640036160327884,0.13170456806058345,Low mobility
0.004673474770133349,12,0.10198355895494918,0.10198355895494918,0.10198355895494918,0.12800003204412244,Low mobility
0.004882172084890253,12,0.0991229278762275,0.0991229278762275,0.0991229278762275,0.12438935424156004,Low mobility
0.005100188925552183,12,0.09747775396838321,0.09747775396838321,0.09747775396838321,0.12089915037999904,Low mobility
0.005327941462126858,12,0.09353763123109363,0.09353763123109363,0.09353763123109363,0.11756583985408522,Low mobility
0.005565864448987467,12,0.09241449851955497,0.09241449851955497,0.09241449851955497,0.11431906163595265,Low mobility
0.0058144120547706166,12,0.09137010663260398,0.09137010663260398,0.09137010663260398,0.11116360447352415,Low mobility
0.006074058729333952,12,0.08830570277571456,0.08830570277571456,0.08830570277571456,0.10808883548632567,Low mobility
0.0063453001094284376,12,0.08556865015698792,0.08556865015698792,0.08556865015698792,0.10509305160497827,Low mobility
0.0066286539648139865,12,0.08325939680023506,0.08325939680023506,0.08325939680023506,0.10217456205932224,Low mobility
0.00692466118662464,12,0.08162303912455732,0.08162303912455732,0.08162303912455732,0.0993316900995547,Low mobility
0.007233886819869833,12,0.08060482598453819,0.08060482598453819,0.08060482598453819,0.09656277456501275,Low mobility
0.00755692114204273,12,0.07945937101801887,0.07945937101801887,0.07945937101801887,0.0938672833429476,Low mobility
0.007894380789894642,12,0.07910837279793581,0.07910837279793581,0.07910837279793581,0.09125019559553516,Low mobility
0.00824690993652625,12,0.0787417005045735,0.0787417005045735,0.0787417005045735,0.08870184405192796,Low mobility
0.008615181521042785,12,0.07833631542763478,0.07833631542763478,0.07833631542763478,0.08622065096333176,Low mobility
0.008999898533120202,12,0.07586298508620445,0.07586298508620445,0.07586298508620445,0.08380505997525023,Low mobility
0.009401795354934689,12,0.07235206983312883,0.07235206983312883,0.07235206983312883,0.0814535369268598,Low mobility
0.009821639163016866,12,0.07059254681301669,0.07059254681301669,0.07059254681301669,0.07916457054997639,Low mobility
0.01026023139270688,12,0.06938520803066103,0.06938520803066103,0.06938520803066103,0.076937129615091,Low mobility
0.010718409268005718,12,0.06811011135494903,0.06811011135494903,0.06811011135494903,0.07477621381266954,Low mobility
0.011197047399743065,12,0.06699470327841475,0.06699470327841475,0.06699470327841475,0.07267316897170065,Low mobility
0.011697059455112624,12,0.06583981120848317,0.06583981120848317,0.06583981120848317,0.07062658827022872,Low mobility
0.012219399901761522,12,0.06428825681173786,0.06428825681173786,0.06428825681173786,0.06863508989629849,Low mobility
0.012765065829763448,12,0.062288210883426814,0.062288210883426814,0.062288210883426814,0.06669731726222591,Low mobility
0.013335098854953114,12,0.060580301551267056,0.060580301551267056,0.060580301551267056,0.06481193915836381,Low mobility
0.01393058710725561,12,0.05943014838384966,0.05943014838384966,0.05943014838384966,0.06297764985092255,Low mobility
0.014552667307805925,12,0.05732009840140362,0.05732009840140362,0.05732009840140362,0.06119929625088441,Low mobility
0.015202526938823673,12,0.055568566411078546,0.055568566411078546,0.055568566411078546,0.05946925925459529,Low mobility
0.015881406510385256,12,0.05519408218269913,0.05519408218269913,0.05519408218269913,0.057786303772454875,Low mobility
0.01659060192842013,12,0.05488232458774915,0.05488232458774915,0.05488232458774915,0.05614923280219318,Low mobility
0.01733146696845183,12,0.05455664523733428,0.05455664523733428,0.05455664523733428,0.05455687449388215,Low mobility
0.018105415859805445,12,0.05421642244563719,0.05421642244563719,0.05421642244563719,0.053008081992739764,Low mobility
0.018913925985214887,12,0.05387319418572124,0.05387319418572124,0.05387319418572124,0.051501733252064086,Low mobility
0.0197585407009829,12,0.05353418207083574,0.05353418207083574,0.05353418207083574,0.05004149116183593,Low mobility
0.02064087228307731,12,0.053180176975061486,0.053180176975061486,0.053180176975061486,0.04862164794047731,Low mobility
0.021562605004787395,12,0.05281036353185149,0.05281036353185149,0.05281036353185149,0.04724082460132953,Low mobility
0.02252549835181501,12,0.05242403580829229,0.05242403580829229,0.05242403580829229,0.045898001930512286,Low mobility
0.02353139038093807,12,0.05190584359850369,0.05190584359850369,0.05190584359850369,0.04459218410898608,Low mobility
0.024582201228657268,12,0.051116358377484836,0.051116358377484836,0.051116358377484836,0.04332239839954991,Low mobility
