condition,case,origin_start_s,lag_s,raw_msd_x_m2,centered_msd_x_m2,centered_displacement_p50_m,centered_displacement_p90_m,centered_displacement_p99_m,non_gaussian_parameter_x,mean_increment_x_m,normalized_velocity_correlation,velocity_autocorrelation,velocity_covariance_m2_s2,velocity_origin_variance_m2_s2,velocity_endpoint_variance_m2_s2,velocity_endpoint_to_origin_variance_ratio,time_origin_particle_pair_count,bed_resident_particle_count,local_centered_msd_exponent,reference_msd,msd_ratio
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.03019999999999981,3.7149632487649018e-6,1.6083641365275152e-6,0.00116807388701961,0.00179054315067552,0.00285611104288211,-0.34565852602170843,0.00145007858570347,0.3635749296542206,0.3635749296542206,0.00136222378431086,0.00377276965772143,0.00372090660508244,0.9862533212085078,119900,100,1.8306705060865096,1.7899898256009375e-6,0.898532557852698
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.03119999999999981,3.956602154920907e-6,1.7072649902050252e-6,0.00120559467238444,0.00184284183190762,0.0029506340417695,-0.3488753955813968,0.00149845184983949,0.361516025825781,0.361516025825781,0.00135420415972102,0.0037755726384506,0.00371646757990981,0.9843454055316382,118900,100,1.8310421638414156,1.9013179396269705e-6,0.8979376645128496
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.0322999999999998,4.230708108170476e-6,1.8190647896871696e-6,0.00124766880724447,0.00189152200602305,0.00305014684119457,-0.3520399342129762,0.00155163388700202,0.3576756279571839,0.3576756279571839,0.00133939680519985,0.00377757271939778,0.00371216257004457,0.982684608818428,117800,100,1.83143298586688,2.027395931637059e-6,0.8972420045345221
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.0333999999999998,4.5136831125935704e-6,1.9340903644328313e-6,0.00128779233240455,0.0019457622133194,0.00313729032301128,-0.35499853607503606,0.00160482131406019,0.3610013075803042,0.3610013075803042,0.00135113868461096,0.00377577339488942,0.00371002114693914,0.982585753679161,116700,100,1.8320606341511632,2.1575040056375733e-6,0.8964480989972855
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.03449999999999979,4.805345405343386e-6,2.05226990461924e-6,0.00132949753332737,0.00199363285081012,0.00321864623157769,-0.3579208488133394,0.00165798023380233,0.366192205095921,0.366192205095921,0.00136953763900743,0.00377736292363085,0.00370289195963774,0.98028493276957,115600,100,1.833166866787065,2.2916827207661057e-6,0.8955296848130746
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.03569999999999979,5.1336591614034495e-6,2.1849487143376717e-6,0.00137624186396212,0.00205232839408801,0.00329550642034645,-0.361125143491309,0.00171596734263634,0.36439437749318354,0.36439437749318354,0.00136285533653996,0.00378039560354387,0.00370014662507973,0.9787723331418228,114400,100,1.834774680635813,2.4426959398827613e-6,0.8944824767844579
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.03689999999999978,5.472786679721241e-6,2.321620601209533e-6,0.0014201391205757,0.00212247461121023,0.0033777050867508,-0.3643805341505916,0.00177398977309433,0.36161312373713667,0.36161312373713667,0.00135274614783162,0.00377728550525608,0.00370479713775083,0.9808094020416562,113200,100,1.836456846221129,2.59832568388929e-6,0.8935063897511214
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.03809999999999977,5.82270080803042e-6,2.462269943847463e-6,0.00146480363488881,0.00219262492291799,0.00345896567297969,-0.3677208354472128,0.00183203691717383,0.3597598597684929,0.3597598597684929,0.00134602798304362,0.00377659322538139,0.00370665834119965,0.9814820183143562,112000,100,1.8377885988500913,2.758461496318574e-6,0.8926243658407389
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.03939999999999976,6.213983814738168e-6,2.619158693254149e-6,0.00151776738720858,0.00226353552709841,0.00354347278178719,-0.3714484366785007,0.00189494944984186,0.35611146837854524,0.35611146837854524,0.00133225465047368,0.00377457074036747,0.00370795965872262,0.9823526736610138,110700,100,1.838691545925662,2.936961247736335e-6,0.8917920504646997
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.04079999999999975,6.649367903081806e-6,2.793235878126524e-6,0.00157122160550716,0.00233800383518695,0.00362704292196947,-0.3754828929108088,0.00196270743700016,0.3485526479200027,0.3485526479200027,0.00130286028824627,0.00376657925089658,0.00370946955641422,0.984837782327622,109300,100,1.8389913710975383,3.13505304305973e-6,0.8909692562650865
