time_s,series,passage
0.09750000000000002,Classical,0.5692747097214255
0.09750000000000002,Time-fractional,0.7987666666666666
0.10125000000000002,CFD-DEM passage,0.8066666666666666
0.10125000000000002,Classical,0.5834054729005999
0.10125000000000002,Time-fractional,0.8094666666666667
0.10500000000000002,CFD-DEM passage,0.81
0.10500000000000002,Classical,0.5968795323632253
0.10500000000000002,Time-fractional,0.8195333333333333
0.10875000000000004,CFD-DEM passage,0.81
0.10875000000000004,Classical,0.6097373545347575
0.10875000000000004,Time-fractional,0.8281333333333334
0.11250000000000004,CFD-DEM passage,0.81
0.11250000000000004,Classical,0.6220164540106505
0.11250000000000004,Time-fractional,0.8355666666666667
0.11625000000000002,CFD-DEM passage,0.81
0.11625000000000002,Classical,0.6337516063104514
0.11625000000000002,Time-fractional,0.8430333333333333
0.12000000000000002,CFD-DEM passage,0.81
0.12000000000000002,Classical,0.6449750541206405
0.12000000000000002,Time-fractional,0.8483
0.12375000000000004,CFD-DEM passage,0.81
0.12375000000000004,Classical,0.6557167036101621
0.12375000000000004,Time-fractional,0.8543666666666667
0.12750000000000003,CFD-DEM passage,0.81
0.12750000000000003,Classical,0.6660043089625676
0.12750000000000003,Time-fractional,0.8592
0.13125000000000003,CFD-DEM passage,0.81
0.13125000000000003,Classical,0.6758636443010217
0.13125000000000003,Time-fractional,0.8641333333333333
0.13500000000000004,CFD-DEM passage,0.81
0.13500000000000004,Classical,0.6853186628552129
0.13500000000000004,Time-fractional,0.8691333333333333
0.13875000000000004,CFD-DEM passage,0.81
0.13875000000000004,Classical,0.6943916436471297
0.13875000000000004,Time-fractional,0.8742333333333333
0.14250000000000004,CFD-DEM passage,0.81
0.14250000000000004,Classical,0.7031033262342822
0.14250000000000004,Time-fractional,0.8782666666666666
0.14625000000000002,CFD-DEM passage,0.81
0.14625000000000002,Classical,0.7114730341981088
0.14625000000000002,Time-fractional,0.8821333333333333
0.15000000000000002,CFD-DEM passage,0.81
0.15000000000000002,Classical,0.7195187881391562
0.15000000000000002,Time-fractional,0.8851
0.15375000000000005,CFD-DEM passage,0.81
0.15375000000000005,Classical,0.727257408964688
0.15375000000000005,Time-fractional,0.8887666666666667
0.15750000000000003,CFD-DEM passage,0.81
0.15750000000000003,Classical,0.7347046122462235
0.15750000000000003,Time-fractional,0.8924333333333333
0.16125000000000003,CFD-DEM passage,0.81
0.16125000000000003,Classical,0.7418750943961661
0.16125000000000003,Time-fractional,0.8954
0.16500000000000004,CFD-DEM passage,0.81
0.16500000000000004,Classical,0.7487826113724565
0.16500000000000004,Time-fractional,0.8986
0.16875000000000004,CFD-DEM passage,0.81
0.16875000000000004,Classical,0.7554400505735391
0.16875000000000004,Time-fractional,0.9011666666666668
0.17250000000000004,CFD-DEM passage,0.81
0.17250000000000004,Classical,0.7618594965366985
0.17250000000000004,Time-fractional,0.9041
0.17625000000000005,CFD-DEM passage,0.81
0.17625000000000005,Classical,0.7680522910033726
0.17625000000000005,Time-fractional,0.9065
0.18000000000000005,CFD-DEM passage,0.81
0.18000000000000005,Classical,0.7740290878670049
0.18000000000000005,Time-fractional,0.9087666666666666
0.18375000000000005,CFD-DEM passage,0.81
0.18375000000000005,Classical,0.7797999034732745
0.18375000000000005,Time-fractional,0.9114
0.18750000000000003,CFD-DEM passage,0.81
0.18750000000000003,Classical,0.7853741626996781
0.18750000000000003,Time-fractional,0.9134333333333332
0.19125000000000003,CFD-DEM passage,0.81
0.19125000000000003,Classical,0.7907607412017165
0.19125000000000003,Time-fractional,0.9155
0.19500000000000003,CFD-DEM passage,0.81
0.19500000000000003,Classical,0.7959680041763845
0.19500000000000003,Time-fractional,0.9175666666666666
0.19875000000000004,CFD-DEM passage,0.81
0.19875000000000004,Classical,0.801003841960266
0.19875000000000004,Time-fractional,0.9191333333333334
0.20250000000000004,CFD-DEM passage,0.81
0.20250000000000004,Classical,0.8058757027491102
0.20250000000000004,Time-fractional,0.921
0.20625000000000004,CFD-DEM passage,0.81
0.20625000000000004,Classical,0.8105906226981928
0.20625000000000004,Time-fractional,0.9223
0.21000000000000005,CFD-DEM passage,0.81
0.21000000000000005,Classical,0.8151552536378119
0.21000000000000005,Time-fractional,0.9239
0.21375000000000005,CFD-DEM passage,0.81
0.21375000000000005,Classical,0.8195758886157175
0.21375000000000005,Time-fractional,0.9258666666666666
0.21750000000000003,CFD-DEM passage,0.81
0.21750000000000003,Classical,0.8238584854579665
0.21750000000000003,Time-fractional,0.9270333333333334
0.22125000000000009,CFD-DEM passage,0.81
0.22125000000000009,Classical,0.8280086885213648
0.22125000000000009,Time-fractional,0.9280666666666668
0.22500000000000003,CFD-DEM passage,0.81
0.22500000000000003,Classical,0.8320318487941826
0.22500000000000003,Time-fractional,0.9292666666666668
