case,cell,step_dp,quantile,time_s,normalized
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,"0.20
0.05",5,P50,0.02411799775248212,11.440950414633821
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,"0.20
0.05",5,P90,0.04389327673110348,8.136290902522186
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,"0.20
0.05",5,P99,0.07038952727520857,2.7316708186569114
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,"0.20
0.05",0.5,P50,0.00206823508803151,1
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,"0.20
0.05",0.5,P90,0.00512804814070818,1
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,"0.20
0.05",0.5,P99,0.02006636618181024,1
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,"0.20
0.05",1,P50,0.00445000582497182,2.151595749788393
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,"0.20
0.05",1,P90,0.00932561270034176,1.818550147045597
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,"0.20
0.05",1,P99,0.03172191901041599,1.5808502009283214
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,"0.20
0.05",2,P50,0.00923225691736627,4.46383342531592
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,"0.20
0.05",2,P90,0.01738874082178607,3.3909082646374484
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,"0.20
0.05",2,P99,0.04811849786056628,2.3979676950271513
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,"0.20
0.05",5,P50,0.02405073852620646,11.628629001308212
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,"0.20
0.05",5,P90,0.04121479509427828,8.037131080557005
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,"0.20
0.05",5,P99,0.08716517445154853,4.3438445038724565
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,"0.20
0.10",0.5,P50,0.0031159043791008,1
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,"0.20
0.10",0.5,P90,0.00924891441737604,1
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,"0.20
0.10",0.5,P99,0.03628996699519512,1
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,"0.20
0.10",1,P50,0.00697885692722587,2.2397532395521895
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,"0.20
0.10",1,P90,0.01579555300766059,1.707827783332637
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,"0.20
0.10",1,P99,0.07174879638944323,1.9770973172541861
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,"0.20
0.10",2,P50,0.01485066210906518,4.766084032832498
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,"0.20
0.10",2,P90,0.02714254497330544,2.93467360042952
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,"0.20
0.10",2,P99,0.13302341408946802,3.6655699936867028
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,"0.20
0.10",5,P50,0.0375362105405477,12.046650337639708
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,"0.20
0.10",5,P90,0.05699665843716976,6.162524147708567
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,"0.20
0.10",5,P99,0.19509242500807783,5.375932831074455
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,"0.20
0.10",0.5,P50,0.00318170361034986,1
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,"0.20
0.10",0.5,P90,0.00869160877787757,1
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,"0.20
0.10",0.5,P99,0.03046582962610432,1
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,"0.20
0.10",1,P50,0.00700118107550737,2.200450429365267
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,"0.20
0.10",1,P90,0.01529061122084932,1.7592383195810593
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,"0.20
0.10",1,P99,0.06150871443163223,2.018941062380561
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,"0.20
0.10",2,P50,0.01469492479321447,4.618571241335272
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,"0.20
0.10",2,P90,0.02696507132872118,3.102425801464325
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,"0.20
0.10",2,P99,0.11943030639636334,3.9201396404459232
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,"0.20
0.10",5,P50,0.0387280925904017,12.172124538697418
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,"0.20
0.10",5,P90,0.05777742384755931,6.647494764676713
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,"0.20
0.10",5,P99,0.19191660673098573,6.299405238140768
