ix,iy,iz,x_center_m,y_center_m,z_center_m,resolved_fluid_volume_m3,resolved_epsilon,unresolved_epsilon_raw,unresolved_epsilon_drag_used,resolved_ux_m_per_s,resolved_uy_m_per_s,resolved_uz_m_per_s,resolved_mean_umag_m_per_s,resolved_ux_std_within_bin_m_per_s,unresolved_ux_m_per_s,unresolved_uy_m_per_s,unresolved_uz_m_per_s,resolved_qx_m_per_s,unresolved_qx_m_per_s,resolved_p_m2_per_s2,unresolved_p_m2_per_s2
1,1,3,0.00375,0.00375,0.0091,6.304296024763918e-09,0.3879566784470103,0.42668,0.42668,0.23198803908283758,0.026457902155366704,0.07600714211824096,0.30103027642299623,0.2401525951867428,0.157318,-0.00226253,-0.0027683,0.09000130908201288,0.06712444,81.56419909940097,333.048
1,1,4,0.00375,0.00375,0.011699999999999999,8.112296850496859e-09,0.49921826772288364,0.488901,0.488901,0.4643100695119258,-0.02116681638713966,0.05401320455784106,0.5244832257230426,0.5086701996159239,0.349614,-0.0291163,-0.00476076,0.2317920685880353,0.17092663,68.07840018147054,333.53
1,2,0,0.00375,0.00625,0.0013,6.020148480938389e-09,0.3704706757500548,0.377792,0.4,0.22422637832495093,-0.0160358124706937,-0.007125321667486311,0.2821068109032895,0.2170504310392056,0.215486,-0.000322809,0.0020781,0.08306929789903202,0.08140889,101.49411009877392,332.351
1,2,1,0.00375,0.00625,0.0039,5.690963430844073e-09,0.3502131342057892,0.368904,0.4,0.21719121959207516,-0.0008909848986087031,0.010215607946888916,0.28602391303556973,0.2109653915211281,0.146927,-0.00250909,0.00304165,0.07606321773531845,0.054201957,96.42664020335755,331.983
1,2,2,0.00375,0.00625,0.0065,5.66577728125566e-09,0.3486632173080407,0.368904,0.4,0.18630311342115613,-0.00544713578655099,0.027366346639694127,0.2518137944810362,0.1785721510225287,0.169777,0.00271184,-0.00870043,0.06495704291992511,0.06263141,89.93013035900948,331.538
1,2,3,0.00375,0.00625,0.0091,5.626667383570256e-09,0.3462564543735543,0.372237,0.4,0.1635797670710542,-0.0008418325351700751,0.068613449833825,0.23132818115404538,0.17757156838671692,0.120151,-0.0032967,-0.0116384,0.05664055015327512,0.044724647,81.21777588419437,333.919
1,2,4,0.00375,0.00625,0.011699999999999999,7.88148333510358e-09,0.4850143590832973,0.482234,0.482234,0.3287753311242247,-0.02770277814987899,0.03209747169510424,0.37535634317232575,0.35165977992423436,0.321623,-0.00298643,-0.010653,0.15946075650761468,0.15509754,69.95293549850776,335.063
1,3,0,0.00375,0.00875,0.0013,6.335110435578518e-09,0.38985294988175484,0.412236,0.412236,0.2207690316694757,0.011813259374450562,0.019398927838975063,0.2785964290716395,0.19990117922882208,0.239228,-0.00357144,-0.00182527,0.08606745823888366,0.098618396,98.86664025720131,333.174
1,3,1,0.00375,0.00875,0.0039,6.533331686588682e-09,0.4020511807131496,0.390014,0.4,0.2498523896268687,-0.019407047790082194,0.025934939413934033,0.314758641583067,0.26383490719366604,0.132866,-0.00459311,0.00309069,0.10045344825348446,0.051819596,98.19379487385767,333.465
1,3,2,0.00375,0.00875,0.0065,5.8284421369139825e-09,0.3586733622716296,0.38557,0.4,0.19195347606715127,0.0014266226761080224,0.04218193695768228,0.25626277163468814,0.17395580978475625,0.17653,-0.00662233,-0.0026156,0.06884859866073192,0.068064675,90.81250380924281,332.315
1,3,3,0.00375,0.00875,0.0091,5.80918389677851e-09,0.3574882398017544,0.321127,0.4,0.15606482676344396,-0.024385458574634547,0.06493241273752055,0.22180601312323667,0.15555831674348428,0.0590876,0.00084789,-0.00252705,0.055791340214629316,0.018974625,82.10430612879166,334.009
1,3,4,0.00375,0.00875,0.011699999999999999,8.625481473439534e-09,0.5307988599039712,0.520011,0.520011,0.41992639459966247,-0.03373493940783764,0.07843502198441867,0.49599483742150074,0.4337536344409736,0.370497,0.0140989,0.00187783,0.22289645149708598,0.1926625,71.02868154952357,333.836
1,4,0,0.00375,0.01125,0.0013,7.081184746897434e-09,0.43576521519368816,0.420014,0.420014,0.24204904209127956,0.006198113397263331,0.013433261762836414,0.31055421417396256,0.21108321365053295,0.260286,0.00303,-0.0021675,0.10547655291433251,0.10932376,98.81061132965111,332.891
